Id,Item Name,Date,price
20110101,Apple Fuji chaina 1 Kg,01-01-2011,NULL
20110101,Apple hazarath palli 1 Kg,01-01-2011,NULL
20110101,Apple Green smith 1 Kg,01-01-2011,NULL
20110101,Apple Golden delicious,01-01-2011,NULL
20110101,Banana pachabale,01-01-2011,NULL
20110101,Banana Yellaki,01-01-2011,NULL
20110101,Banana chandra,01-01-2011,NULL
20110101,Banana Nendra,01-01-2011,NULL
20110101,Banana karpura,01-01-2011,NULL
20110101,Banana Rasabale,01-01-2011,NULL
20110101,Chicco(Sapota) rapined,01-01-2011,NULL
20110101,Custerd Apple,01-01-2011,NULL
20110101,Chicco(Sapota),01-01-2011,NULL
20110101,Guava,01-01-2011,NULL
20110101,Guava Allahabad(Red),01-01-2011,NULL
20110101,Grapes Blore blue,01-01-2011,NULL
20110101,Orange malt,01-01-2011,NULL
20110101,Orange South Africa,01-01-2011,NULL
20110101,Peas Dharwad,01-01-2011,NULL
20110101,Peas Ooty,01-01-2011,NULL
20110101,Pumpkin Ash,01-01-2011,NULL
20110101,Pumpkin Red,01-01-2011,NULL
20110101,Pumpkin Japan,01-01-2011,NULL
20110101,Potato(M),01-01-2011,NULL
20110101,Potato(B),01-01-2011,NULL
20110101,Potato(S),01-01-2011,NULL
20110101,Potato Baby,01-01-2011,NULL
20110101,Sweet Potato(Genasu),01-01-2011,NULL
20110101,Raddish,01-01-2011,NULL
20110101,Raddish Red,01-01-2011,NULL
20110101,Sponge Gourd,01-01-2011,32
20110101,Snake Gourd,01-01-2011,NULL
20110101,Snake Gourd(S),01-01-2011,NULL
20110101,Sham gadde,01-01-2011,NULL
20110101,Spring Onion,01-01-2011,NULL
20110101,Spring Onion(Cleaned),01-01-2011,NULL
20110101,Parvala,01-01-2011,NULL
20110101,Greens Sabbakki,01-01-2011,NULL
20110101,Molake kalu,01-01-2011,NULL
20110101,Hesaru kalu,01-01-2011,NULL
20110101,GrapesAnabi shahi,01-01-2011,NULL
20110101,Grapes Dilkush,01-01-2011,NULL
20110101,Grapes Sharad,01-01-2011,NULL
20110101,Grapes Rose,01-01-2011,NULL
20110101,Grapes Sonika,01-01-2011,NULL
20110101,Grapes Flame,01-01-2011,NULL
20110101,Grapes Krishna sharad,01-01-2011,NULL
20110101,Grapes Crimson,01-01-2011,NULL
20110101,Komark fruit,01-01-2011,NULL
20110101,Kiwi fruit,01-01-2011,NULL
20110101,Litchi Local,01-01-2011,NULL
20110101,Litchi Taiwan/chaina,01-01-2011,NULL
20110101,Straw Berry,01-01-2011,NULL
20110101,Tender Coconut,01-01-2011,NULL
20110101,Tender Coconut(M),01-01-2011,NULL
20110101,Tamrind Chatisghar,01-01-2011,NULL
20110101,Tamarind seedless,01-01-2011,NULL
20110101,Thinda,01-01-2011,NULL
20110101,Dates Arebian,01-01-2011,NULL
20110101,Pista,01-01-2011,NULL
20110101,Tender Coconut(S),01-01-2011,NULL
20110101,Tender Coco packed,01-01-2011,NULL
20110101,Fruit Juice Tailand,01-01-2011,NULL
20110101,G.oil Net rich 500 ml,01-01-2011,NULL
20110101,Ground nut oil 1 lt,01-01-2011,NULL
20110101,G.nut oil Premium1 lt,01-01-2011,NULL
20110101,G.nut oil Rice Bron 1 lt,01-01-2011,NULL
20110102,Chocolates Drink box,02-01-2011,NULL
20110102,Fanda,02-01-2011,NULL
20110102,Jam 100 gm,02-01-2011,NULL
20110102,Jam 200 gm,02-01-2011,NULL
20110102,Jam 1/2 kg,02-01-2011,NULL
20110102,Jam 1 kg,02-01-2011,NULL
20110102,Coconut oil 500 ml,02-01-2011,NULL
20110102,Stevia powder,02-01-2011,NULL
20110102,Pepper,02-01-2011,NULL
20110102,Sungold oil 5 lt packet,02-01-2011,NULL
20110102,Sun safal Tin 15 lt,02-01-2011,NULL
20110102,Tamarind Paste 450 gm,02-01-2011,NULL
20110102,Safal deep 500 ml,02-01-2011,NULL
20110102,Ground nut oil 5 lt,02-01-2011,NULL
20110102,Sungold oil 5 lt,02-01-2011,NULL
20110102,Rice Bran 5 lt,02-01-2011,NULL
20110102,Tamarind Paste 150 gm,02-01-2011,NULL
20110102,Washington red apple,02-01-2011,NULL
20110102,Indian red globe,02-01-2011,NULL
20110102,Apple Chilli,02-01-2011,NULL
20110102,Bread fruit,02-01-2011,NULL
20110102,Peas seeds,02-01-2011,NULL
20110102,Anjura/Fig,02-01-2011,NULL
20110102,Butter fruit,02-01-2011,NULL
20110102,Bore fruit,02-01-2011,NULL
20110102,S.mellon Local (Luck),02-01-2011,NULL
20110102,S.mellon namdhari (Red),02-01-2011,NULL
20110102,Mosambi polo,02-01-2011,NULL
20110102,Rumenia Mango,02-01-2011,NULL
20110102,Apple Chaina Delicious,02-01-2011,NULL
20110102,,02-01-2011,NULL
20110102,,02-01-2011,NULL
20110102,,02-01-2011,NULL
20110102,Chilles small cleaned (C.B.P),02-01-2011,NULL
20110102,Washington gala apple,02-01-2011,NULL
20110102,Times Rose berry,02-01-2011,NULL
20110102,Grapesh Tash ganesh,02-01-2011,NULL
20110102,Chikkadikai cleaned,02-01-2011,NULL
20110102,Orange juice,02-01-2011,NULL
20110102,Thiland Jelly,02-01-2011,NULL
20110102,Thiland Juice,02-01-2011,NULL
20110102,Pineapple juice,02-01-2011,NULL
20110102,Kashini greens,02-01-2011,NULL
20110102,Mosambi,02-01-2011,NULL
20110102,S.mellon namdhari,02-01-2011,NULL
20110102,Watermellon kiran,02-01-2011,NULL
20110102,Watermellon,02-01-2011,NULL
20110102,Tamarind sweet 500gm,02-01-2011,NULL
20110102,Rampal,02-01-2011,NULL
20110102,Rose apple,02-01-2011,NULL
20110102,Pomello/Chakotha,02-01-2011,NULL
20110102,Peaches,02-01-2011,NULL
20110102,Plum Australia,02-01-2011,NULL
20110102,Plum Ooty,02-01-2011,NULL
20110102,Pineapple,02-01-2011,NULL
20110102,Papaya sola,02-01-2011,NULL
20110102,Papaya Red lady,02-01-2011,NULL
20110102,Papaya Taiwan,02-01-2011,NULL
20110102,Papaya nati,02-01-2011,NULL
20110102,Pomegranate Ganesh,02-01-2011,NULL
20110102,Pomegranate A.raktha,02-01-2011,NULL
20110102,Pomegranate Bhagav,02-01-2011,NULL
20110102,Pomegranate,02-01-2011,NULL
20110102,Ginger ooty,02-01-2011,NULL
20110102,Dhantu greens,02-01-2011,NULL
20110102,Curry leave,02-01-2011,NULL
20110102,Corriander Leave,02-01-2011,NULL
20110102,Kakadi,02-01-2011,NULL
20110102,Pickles mixed veg,02-01-2011,NULL
20110102,mango Pickles,02-01-2011,NULL
20110102,Lime Pickles,02-01-2011,NULL
20110102,Pickles,02-01-2011,NULL
20110102,Rice Bran 15 lt Tin,02-01-2011,NULL
20110102,G. nut sungold 1 lt,02-01-2011,NULL
20110102,G. nut Golden oil 1 lt,02-01-2011,NULL
20110102,G. nut oil safal deep1 lt,02-01-2011,NULL
20110102,G. nut oil Rice 1 lt,02-01-2011,NULL
20110102,Apple juice,02-01-2011,NULL
20110102,Litchi Juice,02-01-2011,NULL
20110102,Parsley,02-01-2011,NULL
20110102,Leeks,02-01-2011,NULL
20110102,Selari,02-01-2011,NULL
20110102,South Africa Gala apple,02-01-2011,NULL
20110102,Indian kinora apple,02-01-2011,NULL
20110102,Chikkadikai Round,02-01-2011,NULL
20110102,Mineral water 1 lt,02-01-2011,NULL
20110102,Net rich 5 lt oil,02-01-2011,NULL
20110102,Byladha Hannu,02-01-2011,NULL
20110102,Maize,02-01-2011,NULL
20110102,Y.Bananan T.N.,02-01-2011,NULL
20110102,Chain Berry,02-01-2011,NULL
20110102,Onion flowers,02-01-2011,NULL
20110102,Letteus Greens,02-01-2011,NULL
20110102,Basale Greens,02-01-2011,NULL
20110102,BaleDindu (Banana stem),02-01-2011,NULL
20110102,Batani kalu,02-01-2011,NULL
20110102,Sweet corn seeds spok,02-01-2011,NULL
20110102,Sweet corn cleaned,02-01-2011,NULL
20110102,Sweet corn,02-01-2011,NULL
20110102,Orange Australia,02-01-2011,NULL
20110102,Orange Ooty,02-01-2011,NULL
20110102,Orange Nagpura,02-01-2011,NULL
20110102,Orange,02-01-2011,NULL
20110102,Mango sakkaregutti,02-01-2011,NULL
20110102,Mango Alphans box,02-01-2011,NULL
20110102,Mango rathnagiri(red),02-01-2011,NULL
20110102,Mango Amarpalli,02-01-2011,NULL
20110102,Mango Kesar,02-01-2011,NULL
20110102,Mango Langada,02-01-2011,NULL
20110102,Mango Dasheri,02-01-2011,NULL
20110102,Mango Neelam,02-01-2011,NULL
20110102,Mango kalapadu,02-01-2011,NULL
20110102,Mango thotapuri,02-01-2011,NULL
20110102,Mango mallika,02-01-2011,NULL
20110102,Mango malagova,02-01-2011,NULL
20110102,Mango Bygan palli,02-01-2011,NULL
20110102,Mango Sendura,02-01-2011,NULL
20110102,Capsicum,02-01-2011,NULL
20110102,Cluster Bean Local,02-01-2011,NULL
20110102,Mangalore cucumber,02-01-2011,NULL
20110102,Cucumber Ooty,02-01-2011,NULL
20110102,Cucumber Israle,02-01-2011,NULL
20110102,Cucumber Nati,02-01-2011,NULL
20110102,Cucumber,02-01-2011,NULL
20110102,Chow-Chow,02-01-2011,NULL
20110102,Bottle Gourd,02-01-2011,NULL
20110102,Jambo fruit(Nerale),02-01-2011,NULL
20110102,Dry fruit mixed,02-01-2011,NULL
20110102,Badami,02-01-2011,NULL
20110102,Dry apricot,02-01-2011,NULL
20110102,Dates seedless,02-01-2011,NULL
20110102,Dry dates,02-01-2011,NULL
20110102,Dates,02-01-2011,NULL
20110102,Cashew nut,02-01-2011,NULL
20110102,Cherry kashmir,02-01-2011,NULL
20110102,Cherry fruit,02-01-2011,NULL
20110102,Ber fruit/Bore fruit,02-01-2011,NULL
20110102,Berry Delhi,02-01-2011,NULL
20110102,Berry Soft,02-01-2011,NULL
20110102,Berry fruit Ooty,02-01-2011,NULL
20110102,Peas Delhi,02-01-2011,NULL
20110102,Peas local,02-01-2011,NULL
20110102,Onion samber,02-01-2011,NULL
20110102,Mango Raspuri,02-01-2011,NULL
20110102,Onion small(Economy),02-01-2011,NULL
20110102,Mango Alphans,02-01-2011,NULL
20110102,Mango Badami,02-01-2011,NULL
20110102,Mango,02-01-2011,NULL
20110102,Papaya red indian,02-01-2011,NULL
20110102,Indian Black globe Grapes,02-01-2011,NULL
20110102,Jack fruit,02-01-2011,NULL
20110102,Onion Big,02-01-2011,NULL
20110102,Onion medium,02-01-2011,NULL
20110102,Mushroom Oyster,02-01-2011,NULL
20110102,Brucoli,02-01-2011,NULL
20110102,Avare seed (FB seeds),02-01-2011,NULL
20110102,Avarebele (F. Beans spok),02-01-2011,NULL
20110102,Bale hoovu(B.flower),02-01-2011,NULL
20110102,Sweet corn seeds,02-01-2011,NULL
20110102,Kashini (Ganike) Greens,02-01-2011,NULL
20110102,Cucumber white,02-01-2011,NULL
20110102,Cluster Beans Bunches,02-01-2011,NULL
20110102,Gulkan 1/4 kg,02-01-2011,NULL
20110102,Gulkan 1/2 kg,02-01-2011,NULL
20110102,Gulkan 1 kg,02-01-2011,NULL
20110102,Honney 100 gm,02-01-2011,NULL
20110102,Honney 200 gm,02-01-2011,NULL
20110102,Honney 1 Kg,02-01-2011,NULL
20110102,Honney 1/2,02-01-2011,NULL
20110102,Copra,02-01-2011,NULL
20110102,Cauliflower(B),02-01-2011,NULL
20110102,Cabbage chaina,02-01-2011,NULL
20110102,Cabbage Red,02-01-2011,NULL
20110102,Cabbage,02-01-2011,NULL
20110102,Coconut (OS),02-01-2011,NULL
20110102,Coconut (S),02-01-2011,NULL
20110102,Coconut (M),02-01-2011,NULL
20110102,Coconut (B),02-01-2011,NULL
20110102,Cowpea Long,02-01-2011,NULL
20110102,Cowpea Local,02-01-2011,NULL
20110102,Carrot Nati,02-01-2011,NULL
20110102,Carrot Delhi,02-01-2011,NULL
20110102,Carrot ooty,02-01-2011,NULL
20110102,Chillies small (C.B.P),02-01-2011,NULL
20110102,Chillies Cleaned,02-01-2011,NULL
